d---rw--w- student/student   0 unit1exercise1/zertritttete/
d--x---r-x student/student   0 unit1exercise1/einkletttete/ausgegehheit/enrennte/
d--x--x--x student/student   0 unit1exercise1/angekrauung/
d--x-w-rwx student/student   0 unit1exercise1/einrenntest/aufkaess/
d--x-wxrwx student/student   0 unit1exercise1/einkletttete/
d--xrwx-w- student/student   0 unit1exercise1/aufgeklettse/
d--xrwxr-x student/student   0 unit1exercise1/einkletttete/ausgegehheit/
d-w-----wx student/student   0 unit1exercise1/ansinner/
d-w---xr-x student/student   0 unit1exercise1/ansinner/einkraute/
d-w-rw-r-- student/student   0 unit1exercise1/ansinner/einkraute/ausgestehung/
d-wxrw-rwx student/student   0 unit1exercise1/ansinner/aufgehaltse/
dr--r----- student/student   0 unit1exercise1/einrenntest/aufkaess/angegehse/
dr--r-xr-- student/student   0 unit1exercise1/einkletttete/angesteher/
dr-xrw-rw- student/student   0 unit1exercise1/angefahrs/
drw------- student/student   0 unit1exercise1/ansinner/aufgehaltse/anhundkeit/
drw---xrwx student/student   0 unit1exercise1/einrenntest/aufkaess/aufgekletter/
drw--w-r-x student/student   0 unit1exercise1/geschmeckse/
drw-r-x--x student/student   0 unit1exercise1/einkletttete/ausgegehheit/angekraust/
drw-rwxrwx student/student   0 unit1exercise1/einrenntest/aufkaess/aufstehse/
drwx-wxr-- student/student   0 unit1exercise1/einrenntest/
drwxrwxr-x student/student   0 unit1exercise1/
