d--x--xrwx uucp/news         0 unit1exercise2/aufrenntest/
d--x-wxr-- uucp/tape         0 unit1exercise2/ansitztest/
d--xr---wx news/news         0 unit1exercise2/ansitztest/ausgehte/
d--xr-x-wx mail/tape         0 unit1exercise2/enklettheit/
d--xr-xrw- news/cdrom        0 unit1exercise2/aufrenntest/aufgekrauung/bekrauung/
d-w--wx--x student/student   0 unit1exercise2/vertrittt/
d-w-rwxrw- news/fax          0 unit1exercise2/gehaltheit/
d-wxr-x-w- mail/proxy        0 unit1exercise2/aufrenntest/aufgekrauung/enkletttest/
d-wxrwx-wx news/voice        0 unit1exercise2/ansitztest/auffahrtete/
dr---w--wx nobody/voice      0 unit1exercise2/ansitztest/auffahrtete/behundkeit/
dr-x---r-- nobody/mail       0 unit1exercise2/ansitztest/auffahrtete/einsprachtest/
dr-x-wxr-- lp/voice          0 unit1exercise2/ausgetraust/
dr-xr---wx proxy/news        0 unit1exercise2/aufrenntest/einkaesst/aufgesprachs/
dr-xr-xr-- proxy/cdrom       0 unit1exercise2/vertrittt/ausgegehen/gesinnst/
dr-xrwx--x mail/dip          0 unit1exercise2/aufrenntest/einkaesst/angetrause/
drw-rwx-wx proxy/dip         0 unit1exercise2/anrauchte/
drwx--x-wx mail/dip          0 unit1exercise2/aufstehkeit/
drwx-wxr-- nobody/news       0 unit1exercise2/aufrenntest/aufgekrauung/
drwxrw-rwx proxy/fax         0 unit1exercise2/vertrittt/ausgegehen/
drwxrwx--- student/mail      0 unit1exercise2/aufrenntest/einkaesst/
drwxrwxr-x student/student   0 unit1exercise2/
