d------r-- student/floppy    0 unit1exercise4/einkatzet/
d-----S-wx student/voice     0 unit1exercise4/einkatzet/eintrittheit/angewitztete/
d---r-S--x student/dip       0 unit1exercise4/enkatzest/
d---rw-r-x student/floppy    0 unit1exercise4/behaltheit/ausgeht/
d---rwSrwx student/fax       0 unit1exercise4/anrabarbtest/
d--xr-S--x student/dip       0 unit1exercise4/aussitzt/angehunds/vertritten/
d--xrw-r-x student/fax       0 unit1exercise4/aussitzt/angehunds/
d-w--w-rw- student/floppy    0 unit1exercise4/behaltheit/ausgewarfer/
d-w-rwx-wx student/fax       0 unit1exercise4/aussitzt/angehunds/aufhunden/
d-wx-wxr-- student/news      0 unit1exercise4/verkatzetete/
d-wxr--r-x student/cdrom     0 unit1exercise4/behaltheit/
d-wxr-S--- student/cdrom     0 unit1exercise4/aussitzt/
d-wxrwx--x student/cdrom     0 unit1exercise4/einkatzet/eintrittheit/zerkatzest/
dr-x--S-w- student/tape      0 unit1exercise4/aussitzt/angehunds/aufschmeckkeit/
dr-x-w--w- student/tape      0 unit1exercise4/entrittst/auflaufen/
dr-xrws-wx student/fax       0 unit1exercise4/einkatzet/eintrittheit/belaufse/
drw-----w- student/proxy     0 unit1exercise4/austrittung/
drw---S-w- student/proxy     0 unit1exercise4/einkatzet/eintrittheit/
drw---s-wx student/uucp      0 unit1exercise4/einkatzet/eintrittheit/einsetzse/
drwxrw-r-- student/voice     0 unit1exercise4/entrittst/
drwxrwxr-x student/student   0 unit1exercise4/
