Kernel IP routing table
Destination     Gateway         Genmask         
default         _gateway        0.0.0.0         
10.0.2.0        0.0.0.0         255.255.255.0   
10.1.1.0        0.0.0.0         255.255.255.0   
41.179.169.182  0.0.0.0         255.255.255.254 
57.33.65.32     10.1.1.2        255.255.255.224 
96.29.128.0     10.1.1.2        255.255.240.0   
101.127.238.64  10.1.1.2        255.255.255.248 
117.201.1.252   10.1.1.2        255.255.255.254 
124.101.248.0   10.1.1.2        255.255.248.0   
link-local      0.0.0.0         255.255.0.0     
